iteration,newton_mean,newton_std,gradient_mean,gradient_std,trust-constr_mean,trust-constr_std
0,0.0,0.0,0.0,0.0,0.00046432527124907466,0.0010708470894160577
1,0.68578986963944,0.18854254835428094,0.68578986963944,0.18854254835428094,0.6465933469495911,0.2036453101583295
2,0.7617794618234829,0.17156517213401995,0.7616937459353202,0.17161999687340718,0.6783770697193087,0.17986039634800124
3,0.78209053669516,0.16372224537082936,0.779485011146283,0.1651527057028765,0.7362848273133423,0.15323140384882614
4,0.7941249162253385,0.15753729031253305,0.7915207933079916,0.15820497038463255,0.7621798925191182,0.1430177621617129
5,0.8033705885407624,0.1491684236380206,0.8002256167706905,0.15037237319317728,0.7785812212561172,0.14203621811528855
6,0.8075777295543,0.14709785523898017,0.804464107411574,0.14816399124053237,0.7862265286413045,0.1413353598620724
7,0.8101539097865412,0.14574239062497799,0.8073203969253714,0.14693105153211353,0.7909620843468571,0.13975402740888745
8,0.8117312961607352,0.14561636118161078,0.8092970295522071,0.14626394498599582,0.795073785682891,0.13767834526547784
9,0.8132860170686975,0.14478252465933525,0.8107474311853293,0.14519657651844395,0.7981942745405312,0.13633301264414843
10,0.8143884860036994,0.14406246866486214,0.8119604216390139,0.14432284451417673,0.8009550419336497,0.13538313344125918
11,0.8153582386048975,0.14319777131955647,0.8132466421908235,0.14335247845130009,0.8033659912363674,0.13512499472223688
12,0.8158703108722506,0.14283603629544023,0.8140550457832988,0.14294762281764306,0.8056902207792214,0.13516833786716598
13,0.8165147022948231,0.14220562063293055,0.8148191940213602,0.14247666428999076,0.8076481105034301,0.13547910336471286
14,0.8168760139974751,0.1419443517115338,0.8151759584631492,0.1423799488243636,0.8092722560559235,0.13593643651256807
15,0.817203410483263,0.1417483425658055,0.81564616337255,0.14206891362297935,0.8109212110685837,0.1365946631128622
16,0.8174528136006254,0.14165561806279783,0.8159399648972817,0.14190255961723514,0.8119761427820099,0.13697061331274418
17,0.8177297889799356,0.14150619543747656,0.816194817422233,0.14172003530152613,0.813110296103461,0.1374432724542743
18,0.8178604563365,0.1414179801689451,0.8163622723739862,0.14162200830411883,0.8140078162585557,0.1377524295085871
19,0.8179638818116337,0.14130851545826859,0.8165323433223144,0.14148952168878678,0.8146812176707756,0.13804776440355823
20,0.8180159711477515,0.14123780415838386,0.8167123628502441,0.14138469302672502,0.8153229149055864,0.1383552515274389
21,0.818082506412721,0.1411397869325421,0.8168471365927154,0.1412563194798321,0.8157805455315404,0.13853962125550157
