time,newton_mean,newton_std,newton2_mean,newton2_std,gradient_mean,gradient_std,scipy_mean,scipy_std,trust-constr_mean,trust-constr_std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.873110620312923e-05,0.00026805324818168633,0.0,0.0
0.0480441088652491,0.12490611038816969,0.08200639848756874,0.16824558361213324,0.09492008451899374,0.30941798871363774,0.18851435941244218,-5.873110620312923e-05,0.00026805324818168633,1.7922438181652125e-05,0.00012545706727156483
0.0960882177304982,0.38528013025772007,0.16341005680756057,0.41128031390978914,0.170086234096597,0.5738747185292897,0.21065705689345252,-5.873110620312923e-05,0.00026805324818168633,0.16846166815000313,0.1601718860031452
0.1441323265957473,0.5456873990764086,0.17278456106967693,0.5384480141165674,0.16429012210069588,0.6330523884230829,0.20451123149526282,-5.873110620312923e-05,0.00026805324818168633,0.39974998830970415,0.19470615766212312
0.1921764354609964,0.6217666124215523,0.17619358326984857,0.6062717046030476,0.1618273389817479,0.6680247091515987,0.1854206468572833,-5.873110620312923e-05,0.00026805324818168633,0.5464067281151546,0.16897422009891866
0.24022054432624548,0.6567190049680715,0.17442232174944475,0.6502265150807384,0.15990486924389571,0.6807875539933179,0.18017540309730534,-5.873110620312923e-05,0.00026805324818168633,0.6180677873844239,0.15678690775545676
0.2882646531914946,0.6780615277166713,0.17142643377776975,0.673727425944317,0.16185772367225795,0.6885475301135827,0.17661349985469918,-5.873110620312923e-05,0.00026805324818168633,0.6534126631187204,0.1573458680071544
0.33630876205674365,0.6885638123850112,0.17025337158961598,0.6858936780540053,0.16381872608766082,0.6948266236018991,0.1746367584649073,-5.873110620312923e-05,0.00026805324818168633,0.675717187137277,0.15763272352322047
0.3843528709219928,0.6958441018120545,0.1686732899189276,0.6950468665237743,0.16460562392409148,0.7003744145296096,0.1730185428879245,0.004318030794245933,0.008917716259535944,0.6889916832063566,0.1609723870456419
0.4323969797872419,0.701476122623628,0.16721019759314168,0.7004500891667352,0.16525885687878777,0.7036547086362407,0.1711591874994702,0.03860538108136906,0.04099122019686434,0.6968857624517862,0.16410860190335017
