iteration,newton_mean,newton_std,gradient_mean,gradient_std,trust-constr_mean,trust-constr_std
0,0.0,0.0,0.0,0.0,0.00018405491018246866,0.00047116903792808956
1,0.505239465151231,0.22279206759498643,0.4471086899062232,0.2689901976810665,0.4602129457044765,0.2570378286410879
2,0.6173767327051465,0.22126958748509015,0.559310827132433,0.259707380131898,0.5499677255021092,0.22868661934332105
3,0.6456139686373399,0.22574825700797635,0.6109450940049639,0.24404990045791478,0.6119637174725507,0.22309669652277062
4,0.6539609117690297,0.2297589700008173,0.6326617653131063,0.24321398133600985,0.6359349884987696,0.22630057272618478
5,0.6564524130053967,0.23175306758478154,0.6408615377039993,0.24268848394965803,0.6454884031467032,0.2283276657114624
6,0.6567504720589098,0.2320420030093158,0.6495291996582186,0.2388382540605472,0.6491639606939562,0.22922256514568765
7,0.6568902416753888,0.23219810328779814,0.6518529050254257,0.2384184298580219,0.6511071644939703,0.22946171531129314
8,0.6569452954239061,0.23226111404766486,0.653300223912508,0.23822568465907581,0.6524194629910963,0.2295430198740752
9,0.6569471546201665,0.2322632541334208,0.6538116408168952,0.23812261763842202,0.6535000806430117,0.229882804357045
10,0.6569471635804125,0.2322632644491091,0.6539940835733016,0.23805614247771906,0.6543076875565538,0.23028645955912816
11,0.6569471635804125,0.2322632644491091,0.6540736856956758,0.23807169278396015,0.6550035159101855,0.23079525471013126
12,0.6569471635804125,0.2322632644491091,0.6541366818213359,0.23806428234257268,0.6555462289300933,0.23120132025677612
13,0.6569471635804125,0.2322632644491091,0.6542020296777517,0.23811071616847923,0.6558808307246379,0.23143349173663377
14,0.6569471635804125,0.2322632644491091,0.6542476194131637,0.23810970064275086,0.6560864291328485,0.23156913460862774
15,0.6569471635804125,0.2322632644491091,0.6542705680868081,0.23812695071893947,0.6562620268758679,0.23170296851768543
16,0.6569471635804125,0.2322632644491091,0.6542936855685428,0.23811334661256014,0.6564128626485873,0.23182273647215718
17,0.6569471635804125,0.2322632644491091,0.6543087736271878,0.23812728045648943,0.6565191523637932,0.2319017704345084
18,0.6569471635804125,0.2322632644491091,0.6543221619297221,0.23811274285644654,0.656602331463483,0.23197177275193417
19,0.6569471635804125,0.2322632644491091,0.6543281468645066,0.23812186972189653,0.656660437719513,0.2320225443580616
