iteration,newton_mean,newton_std,gradient_mean,gradient_std,scipy_mean,scipy_std,trust-constr_mean,trust-constr_std
0,0.0,0.0,0.0,0.0,0.00023133496064504748,0.0009244184919006879,0.0,0.0
1,0.5139279292843546,0.21939388245164804,0.43043945548491164,0.2779055385738679,0.28779569878836586,0.32087806556955145,0.3133912948634622,0.13803823906583662
2,0.6324533326984432,0.23780730305419723,0.5865120618559009,0.27909604032486457,0.49194365225961095,0.25835930198879026,0.48731223872447493,0.18950008222180398
3,0.6588579794599471,0.24504708123296434,0.6318060996142091,0.25862749823940834,0.5751255402649612,0.24014749457500564,0.589026673848324,0.21791387180450056
4,0.6644008027268161,0.248389182470771,0.6534652710216581,0.2501069092240655,0.6258316570906373,0.23771787515367335,0.6357337461841543,0.24038188239039826
5,0.6653224350716535,0.24916548567627,0.6613650912955319,0.24930325910371778,0.6467203731763614,0.23808809610035347,0.6560954181290584,0.24392085807184738
6,0.6653800220427714,0.24920989812632305,0.6641070483501942,0.24905184775713846,0.6566319206228743,0.24263991321856712,0.6626892540561102,0.24728563707924528
7,0.6653822714592235,0.24920935649563863,0.6646372641676547,0.2491327546100546,0.661639683187025,0.24584660464039704,0.664706628621425,0.2486622608773429
8,0.6653827405161724,0.2492092524894516,0.6648811998891264,0.24912267533292506,0.6633971893557444,0.24739511535432251,0.6651841799136917,0.24907642699529442
9,0.6653827849019279,0.24920929396781777,0.665060818919326,0.24917552221569353,0.6641477736250875,0.24808075365881696,0.6652719072683773,0.24918342681423136
10,0.6653827849019279,0.24920929396781777,0.6650962186391177,0.24919070812882657,0.6645678040746753,0.24846764649261782,0.6652996839401992,0.24922044825921402
11,0.6653827849019279,0.24920929396781777,0.6651185441086205,0.24917964069985984,0.6648488487204105,0.2486921242122619,0.6653094346115525,0.24923347177431832
12,0.6653827849019279,0.24920929396781777,0.6651818054782214,0.2491207679624358,0.6650443434982783,0.2488696760881111,0.6653112429288123,0.2492358880763255
13,0.6653827849019279,0.24920929396781777,0.6652774148967501,0.24916175590599035,0.6651324219444992,0.24894404713350418,0.6653112464336053,0.24923589275962765
14,0.6653827849019279,0.24920929396781777,0.6652889758164191,0.24916400866487676,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
15,0.6653827849019279,0.24920929396781777,0.6652944298543182,0.24916567098908574,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
16,0.6653827849019279,0.24920929396781777,0.6653003028121958,0.24916871447160863,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
17,0.6653827849019279,0.24920929396781777,0.6653029819298838,0.24917005467286038,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
18,0.6653827849019279,0.24920929396781777,0.6653072084897808,0.24917217182146578,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
19,0.6653827849019279,0.24920929396781777,0.6653084723889765,0.24917280560675995,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
20,0.6653827849019279,0.24920929396781777,0.6653116981745826,0.24917442460142306,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
21,0.6653827849019279,0.24920929396781777,0.665312059379811,0.24917460601402744,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
22,0.6653827849019279,0.24920929396781777,0.6653146612557417,0.24917591354074348,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
23,0.6653827849019279,0.24920929396781777,0.6653212836152705,0.24917924746557188,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
24,0.6653827849019279,0.24920929396781777,0.6653235555816752,0.24918039322862126,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
25,0.6653827849019279,0.24920929396781777,0.6653244859373797,0.2491808627026689,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
26,0.6653827849019279,0.24920929396781777,0.6653261228791081,0.24918168914365244,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
27,0.6653827849019279,0.24920929396781777,0.6653262540249559,0.24918175537779352,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
28,0.6653827849019279,0.24920929396781777,0.6653271301528043,0.24918219794533636,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
29,0.6653827849019279,0.24920929396781777,0.6653272606067685,0.2491822638557433,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
30,0.6653827849019279,0.24920929396781777,0.6653273115632728,0.24918228960185165,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
31,0.6653827849019279,0.24920929396781777,0.6653273115632728,0.24918228960185165,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
32,0.6653827849019279,0.24920929396781777,0.6653273115632728,0.24918228960185165,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
33,0.6653827849019279,0.24920929396781777,0.6653273115632728,0.24918228960185165,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
34,0.6653827849019279,0.24920929396781777,0.6653273115632728,0.24918228960185165,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
35,0.6653827849019279,0.24920929396781777,0.6653273115632728,0.24918228960185165,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
36,0.6653827849019279,0.24920929396781777,0.6653273115632728,0.24918228960185165,0.665175905948967,0.24897379500319022,0.6653112464336053,0.24923589275962765
